"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 15:03:17 GMT 2022","Tue Jun 14 15:03:17 GMT 2022","0","tests","test_05_data_handling","","","","test_list_multi_page_data",""
"passed","Tue Jun 14 15:03:14 GMT 2022","Tue Jun 14 15:03:15 GMT 2022","1836","tests","test_04_login","","","","test_invalid_login[Not registered email]","
    Test invalid login
    "
"passed","Tue Jun 14 15:03:08 GMT 2022","Tue Jun 14 15:03:10 GMT 2022","1864","tests","test_04_login","","","","test_invalid_login[Empty password]","
    Test invalid login
    "
"passed","Tue Jun 14 15:02:59 GMT 2022","Tue Jun 14 15:03:01 GMT 2022","1847","tests","test_03_signup","","","","test_invalid_signup[Empty password]","
    Signup test
    "
"passed","Tue Jun 14 15:03:15 GMT 2022","Tue Jun 14 15:03:15 GMT 2022","0","tests","test_04_login","","","","test_valid_login",""
"passed","Tue Jun 14 15:03:06 GMT 2022","Tue Jun 14 15:03:08 GMT 2022","1842","tests","test_04_login","","","","test_invalid_login[Empty email]","
    Test invalid login
    "
"passed","Tue Jun 14 15:02:51 GMT 2022","Tue Jun 14 15:02:51 GMT 2022","207","tests","test_02_cookie_policy","","","","test_accept_cookie_policy","
    Test accept button on cookie policy bar
    "
"passed","Tue Jun 14 15:02:31 GMT 2022","Tue Jun 14 15:02:47 GMT 2022","16445","tests","test_01_main_page","","","","test_wait_for_main_page_load","
    Wait for docker container to load
    "
"passed","Tue Jun 14 15:03:03 GMT 2022","Tue Jun 14 15:03:03 GMT 2022","0","tests","test_03_signup","","","","test_valid_signup",""
"passed","Tue Jun 14 15:03:17 GMT 2022","Tue Jun 14 15:03:17 GMT 2022","0","tests","test_05_data_handling","","","","test_download_data",""
"passed","Tue Jun 14 15:02:49 GMT 2022","Tue Jun 14 15:02:50 GMT 2022","1599","tests","test_02_cookie_policy","","","","test_learn_more_link","
    Test Learn more... link on cookie policy bar
    "
"passed","Tue Jun 14 15:03:17 GMT 2022","Tue Jun 14 15:03:17 GMT 2022","0","tests","test_05_data_handling","","","","test_insert_data",""
"passed","Tue Jun 14 15:02:55 GMT 2022","Tue Jun 14 15:02:57 GMT 2022","1894","tests","test_03_signup","","","","test_invalid_signup[Empty username]","
    Signup test
    "
"passed","Tue Jun 14 15:02:50 GMT 2022","Tue Jun 14 15:02:51 GMT 2022","265","tests","test_02_cookie_policy","","","","test_decline_cookie_policy","
    Test decline button on cookie policy bar
    "
"passed","Tue Jun 14 15:02:57 GMT 2022","Tue Jun 14 15:02:59 GMT 2022","1845","tests","test_03_signup","","","","test_invalid_signup[Empty email]","
    Signup test
    "
"passed","Tue Jun 14 15:03:01 GMT 2022","Tue Jun 14 15:03:03 GMT 2022","1849","tests","test_03_signup","","","","test_invalid_signup[All fields empty]","
    Signup test
    "
"passed","Tue Jun 14 15:03:17 GMT 2022","Tue Jun 14 15:03:17 GMT 2022","0","tests","test_05_data_handling","","","","test_delete_data",""
"passed","Tue Jun 14 15:03:17 GMT 2022","Tue Jun 14 15:03:17 GMT 2022","0","tests","test_05_data_handling","","","","test_bulk_insert_data_from_file",""
"passed","Tue Jun 14 15:03:17 GMT 2022","Tue Jun 14 15:03:17 GMT 2022","1","tests","test_05_data_handling","","","","test_update_data",""
"passed","Tue Jun 14 15:02:53 GMT 2022","Tue Jun 14 15:02:55 GMT 2022","2128","tests","test_03_signup","","","","test_invalid_signup[Invalid email format]","
    Signup test
    "
"passed","Tue Jun 14 15:03:12 GMT 2022","Tue Jun 14 15:03:14 GMT 2022","1891","tests","test_04_login","","","","test_invalid_login[Invalid email format]","
    Test invalid login
    "
"passed","Tue Jun 14 15:03:17 GMT 2022","Tue Jun 14 15:03:17 GMT 2022","0","tests","test_05_data_handling","","","","test_list_data",""
"passed","Tue Jun 14 15:03:10 GMT 2022","Tue Jun 14 15:03:12 GMT 2022","1972","tests","test_04_login","","","","test_invalid_login[Invalid password]","
    Test invalid login
    "
"passed","Tue Jun 14 15:03:04 GMT 2022","Tue Jun 14 15:03:06 GMT 2022","1988","tests","test_04_login","","","","test_invalid_login[Empty fields]","
    Test invalid login
    "
