"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 11:08:50 GMT 2022","Wed Jun 29 11:08:50 GMT 2022","1","tests","test_05_data_handling","","","","test_bulk_insert_data_from_file",""
"passed","Wed Jun 29 11:08:24 GMT 2022","Wed Jun 29 11:08:24 GMT 2022","194","tests","test_02_cookie_policy","","","","test_accept_cookie_policy","
    Test accept button on cookie policy bar
    "
"passed","Wed Jun 29 11:08:36 GMT 2022","Wed Jun 29 11:08:36 GMT 2022","0","tests","test_03_signup","","","","test_valid_signup",""
"passed","Wed Jun 29 11:08:50 GMT 2022","Wed Jun 29 11:08:50 GMT 2022","0","tests","test_05_data_handling","","","","test_update_data",""
"passed","Wed Jun 29 11:08:50 GMT 2022","Wed Jun 29 11:08:50 GMT 2022","0","tests","test_05_data_handling","","","","test_list_multi_page_data",""
"passed","Wed Jun 29 11:08:27 GMT 2022","Wed Jun 29 11:08:29 GMT 2022","2185","tests","test_03_signup","","","","test_invalid_signup[Invalid email format]","
    Signup test
    "
"passed","Wed Jun 29 11:08:24 GMT 2022","Wed Jun 29 11:08:24 GMT 2022","281","tests","test_02_cookie_policy","","","","test_decline_cookie_policy","
    Test decline button on cookie policy bar
    "
"passed","Wed Jun 29 11:08:21 GMT 2022","Wed Jun 29 11:08:21 GMT 2022","662","tests","test_01_main_page","","","","test_wait_for_main_page_load","
    Wait for docker container to load
    "
"passed","Wed Jun 29 11:08:49 GMT 2022","Wed Jun 29 11:08:49 GMT 2022","0","tests","test_04_login","","","","test_valid_login",""
"passed","Wed Jun 29 11:08:50 GMT 2022","Wed Jun 29 11:08:50 GMT 2022","0","tests","test_05_data_handling","","","","test_list_data",""
"passed","Wed Jun 29 11:08:38 GMT 2022","Wed Jun 29 11:08:40 GMT 2022","1967","tests","test_04_login","","","","test_invalid_login[Empty fields]","
    Test invalid login
    "
"passed","Wed Jun 29 11:08:31 GMT 2022","Wed Jun 29 11:08:33 GMT 2022","1929","tests","test_03_signup","","","","test_invalid_signup[Empty email]","
    Signup test
    "
"passed","Wed Jun 29 11:08:23 GMT 2022","Wed Jun 29 11:08:24 GMT 2022","1349","tests","test_02_cookie_policy","","","","test_learn_more_link","
    Test Learn more... link on cookie policy bar
    "
"passed","Wed Jun 29 11:08:50 GMT 2022","Wed Jun 29 11:08:50 GMT 2022","0","tests","test_05_data_handling","","","","test_insert_data",""
"passed","Wed Jun 29 11:08:50 GMT 2022","Wed Jun 29 11:08:50 GMT 2022","0","tests","test_05_data_handling","","","","test_download_data",""
"passed","Wed Jun 29 11:08:33 GMT 2022","Wed Jun 29 11:08:35 GMT 2022","1860","tests","test_03_signup","","","","test_invalid_signup[Empty password]","
    Signup test
    "
"passed","Wed Jun 29 11:08:29 GMT 2022","Wed Jun 29 11:08:31 GMT 2022","1929","tests","test_03_signup","","","","test_invalid_signup[Empty username]","
    Signup test
    "
"passed","Wed Jun 29 11:08:50 GMT 2022","Wed Jun 29 11:08:50 GMT 2022","1","tests","test_05_data_handling","","","","test_delete_data",""
"passed","Wed Jun 29 11:08:43 GMT 2022","Wed Jun 29 11:08:45 GMT 2022","1835","tests","test_04_login","","","","test_invalid_login[Invalid password]","
    Test invalid login
    "
"passed","Wed Jun 29 11:08:45 GMT 2022","Wed Jun 29 11:08:47 GMT 2022","1859","tests","test_04_login","","","","test_invalid_login[Invalid email format]","
    Test invalid login
    "
"passed","Wed Jun 29 11:08:35 GMT 2022","Wed Jun 29 11:08:36 GMT 2022","1828","tests","test_03_signup","","","","test_invalid_signup[All fields empty]","
    Signup test
    "
"passed","Wed Jun 29 11:08:47 GMT 2022","Wed Jun 29 11:08:49 GMT 2022","1870","tests","test_04_login","","","","test_invalid_login[Not registered email]","
    Test invalid login
    "
"passed","Wed Jun 29 11:08:42 GMT 2022","Wed Jun 29 11:08:43 GMT 2022","1860","tests","test_04_login","","","","test_invalid_login[Empty password]","
    Test invalid login
    "
"passed","Wed Jun 29 11:08:40 GMT 2022","Wed Jun 29 11:08:42 GMT 2022","1881","tests","test_04_login","","","","test_invalid_login[Empty email]","
    Test invalid login
    "
